name,party,state,Bill_1,Bill_2,Bill_3,Bill_4,Bill_5,Bill_6,Bill_7
Baldwin,D,WI,1,1,1,1,1,1,1
Barrasso,R,WY,0,0,0,1,0,0,1
Bennet,D,CO,1,1,1,1,1,1,1
Blackburn,R,TN,0,0,0,0.5,0,0,1
Blumenthal,D,CT,1,1,1,1,1,1,1
Blunt,R,MO,0,1,0,1,0,1,1
Booker,D,NJ,1,1,1,1,1,1,0
Boozman,R,AR,0,0,0,1,0,0,1
Braun,R,IN,0,0,0,1,0,0,0
Brown,D,OH,1,1,1,1,1,1,1
Burr,R,NC,0,1,0,1,0,1,1
Cantwell,D,WA,1,1,1,1,1,1,1
Capito,R,WV,0,1,0,1,0,1,1
Cardin,D,MD,1,1,1,1,1,1,1
Carper,D,DE,1,1,1,1,1,1,1
Casey,D,PA,1,1,1,1,1,1,1
Cassidy,R,LA,0,1,0,1,0,1,1
Collins,R,ME,0,1,0,1,0,1,1
Coons,D,DE,1,1,1,1,1,1,1
Cornyn,R,TX,0,0,0,1,0,1,1
Cortez Masto,D,NV,1,1,1,1,1,1,1
Cotton,R,AR,0,1,0,1,0,0,1
Cramer,R,ND,0,1,0,1,0,0,1
Crapo,R,ID,0,0,0,1,0,0,1
Cruz,R,TX,0,0,0,1,0,0,1
Daines,R,MT,0,1,0,1,0,0,1
Duckworth,D,IL,1,1,1,1,1,1,1
Durbin,D,IL,1,0,1,1,1,1,1
Ernst,R,IA,0,1,0,1,0,0,1
Feinstein,D,CA,1,1,1,1,1,1,1
Fischer,R,NE,0,1,0,1,0,0,1
Gillibrand,D,NY,1,1,1,1,1,1,0
Graham,R,SC,0,1,0,1,0,1,1
Grassley,R,IA,0,0,0,1,0,0,1
Hagerty,R,TN,0,1,0,1,0,1,1
Hassan,D,NH,1,0,1,1,1,0,1
Hawley,R,MO,0,1,0,0,0,1,1
Heinrich,D,NM,1,1,1,1,1,1,1
Hickenlooper,D,CO,1,1,1,1,1,1,1
Hirono,D,HI,1,1,1,1,1,0,1
Hoeven,R,ND,0,0,0,1,0,1,1
Hyde-Smith,R,MS,0,0,0,1,0,0.5,1
Inhofe,R,OK,0,0,0,1,0,0,1
Johnson,R,WI,0,1,0,1,0,1,1
Kaine,D,VA,1,1,1,1,1,1,1
Kelly,D,AZ,1,0,1,1,1,1,1
Kennedy,R,LA,0,1,0,1,0,1,1
King,I,ME,1,1,1,1,1,1,1
Klobuchar,D,MN,1,0,1,0.5,1,0,1
Lankford,R,OK,0,1,0,1,0,1,1
Leahy,D,VT,1,0,1,1,1,0,0
Lee,R,UT,0,1,0,0.5,0,1,1
Luján,D,NM,1,0,1,1,1,0,0.5
Lummis,R,WY,0,1,0,1,0,1,1
Manchin,D,WV,1,1,1,1,1,1,0
Markey,D,MA,1,0,1,1,1,0,1
Marshall,R,KS,0,1,0,1,0,1,1
McConnell,R,KY,0,1,0,1,0,1,1
Menendez,D,NJ,1,1,1,1,1,1,0
Merkley,D,OR,1,0,1,1,1,1,1
Moran,R,KS,0,1,0,1,0,1,1
Murkowski,R,AK,0,1,0,1,0,1,1
Murphy,D,CT,1,1,1,1,1,1,1
Murray,D,WA,1,1,1,1,1,1,1
Ossoff,D,GA,1,1,1,1,1,1,0
Padilla,D,CA,1,0,1,1,1,0,0
Paul,R,KY,0,1,0,0.5,0,1,1
Peters,D,MI,1,1,1,1,1,1,1
Portman,R,OH,0,1,0,1,0,1,1
Reed,D,RI,1,1,1,1,1,0,1
Risch,R,ID,0,1,0,1,0,0,1
Romney,R,UT,0,1,0,1,0,1,1
Rosen,D,NV,1,0.5,1,1,1,1,1
Rounds,R,SD,0,0,0,1,0,1,1
Rubio,R,FL,0,1,0,1,0,1,0
Sanders,I,VT,1,0,1,1,1,0,1
Sasse,R,NE,0,1,0,1,0,1,1
Schatz,D,HI,1,1,1,1,1,1,1
Schumer,D,NY,1,0,1,1,1,0,1
Scott (FL),R,FL,0,0,0,1,0,0,1
Scott (SC),R,SC,0,1,0,1,0,1,1
Shaheen,D,NH,1,0,1,1,1,1,1
Shelby,R,AL,0,1,0,1,0,1,1
Sinema,D,AZ,1,1,1,1,1,1,1
Smith,D,MN,1,1,1,0.5,1,1,1
Stabenow,D,MI,1,1,1,1,1,0,1
Sullivan,R,AK,0,1,0.5,1,0,1,1
Tester,D,MT,1,0,1,1,1,0.5,1
Thune,R,SD,0,1,0,1,0,1,1
Tillis,R,NC,0,0,0,1,0,0,1
Toomey,R,PA,0,0,0,1,0,0,1
Tuberville,R,AL,0,1,0,1,0,1,1
Van Hollen,D,MD,1,1,1,1,1,1,1
Warner,D,VA,1,1,1,1,1,1,1
Warnock,D,GA,1,1,1,1,1,1,0
Warren,D,MA,1,1,1,1,1,1,1
Whitehouse,D,RI,1,1,1,1,1,1,1
Wicker,R,MS,0,1,0,1,0,1,0
Wyden,D,OR,1,0,1,1,1,1,1
Young,R,IN,0,,0,1,0,,
